feature,importance
tfidf_ use,0.00041384826157620116
tfidf_teg,0.00040889073982434276
tfidf_**/,0.00040809089557062905
semicolon_count,0.0003960946092620357
tfidf_earc,0.0003698369209042201
tfidf_egory,0.00036731316884970735
tfidf_%25,0.00035620106273565077
tfidf_ user,0.0003553217872850559
tfidf_cat,0.0003371506923118678
keyword_union,0.0003256906436970873
parameter_name_count,0.00031567739281968785
tfidf_='a,0.0003016918038747535
tfidf_lect ,0.0002965734350190646
tfidf_ sele,0.00028592157045672625
tfidf_%28,0.00028337237581572343
tfidf_ pa,0.0002823374294892813
tfidf_/**,0.0002790522585340114
tfidf_ion,0.00027475807949421893
tfidf_ pag,0.0002600016299495647
tfidf_id%,0.00025489902288286563
tfidf_nion ,0.0002537353991203383
tfidf_ un,0.0002532375692530587
tfidf_er ,0.00025074023700716823
tfidf_2f%2,0.0002431879744560328
tfidf_ unio,0.0002386874731316424
tfidf_t=sub,0.00023055335283691668
tfidf_t=su,0.00022460141100087667
tfidf_ct ,0.00022425715215389067
tfidf_2f%,0.0002164628710786035
tfidf_ble,0.00020620675150772133
tfidf_%252,0.00019903856134677306
tfidf_tio,0.0001923284451619231
tfidf_able,0.00017547514800965737
sql_function_count,0.00017500275082836525
tfidf_users,0.00017082802724660594
tfidf_ation,0.00016885246102468673
tfidf_a%2,0.00016796330319465783
tfidf_abl,0.0001645232754149289
tfidf_admi,0.00016186902003820496
tfidf_ sel,0.00015665977166912727
tfidf_sers,0.00014236776343026563
tfidf_admin,0.0001416433896640654
tfidf_earch,0.0001397310946795265
tfidf_sear,0.00013773005433967067
tfidf_;--,0.00013321841010913098
tfidf_ ca,0.00012418208417219514
tfidf_sche,0.00012291332687458122
has_subquery,0.00011872314221522124
tfidf_ se,0.00011419578783715745
tfidf_%3d1,0.00011374046253184805
keyword_drop,0.0001101706944716883
tfidf_ema,0.0001030676273149882
tfidf_dmi,0.00010171716330945696
tfidf_table,9.956657128436363e-05
tfidf_tabl,9.62671206650745e-05
keyword_table,9.614488309712247e-05
tfidf_adm,9.14382624830609e-05
tfidf_arc,9.126612411317562e-05
tfidf_&subm,8.863452443512371e-05
number_of_parameters,8.622581217097546e-05
tfidf_rch,8.616070676779213e-05
tfidf_dmin,8.574859100508604e-05
tfidf_id%3d,8.392300642523212e-05
keyword_sleep,8.173701507093843e-05
tfidf_%20,8.097664486739288e-05
tfidf_29%,7.740404907530359e-05
tfidf_%2c,7.586715384635366e-05
tfidf_gory,7.310766275453641e-05
tfidf_ sear,7.286065560058e-05
tfidf_%2f,7.165158557081048e-05
has_sleep,6.693191389295538e-05
tfidf_ sea,6.599113989242295e-05
tfidf_atio,6.493737264748251e-05
tfidf_%2520,6.425207864075775e-05
tfidf_%29%2,6.266887522178047e-05
keyword_from,6.23558296789839e-05
tfidf_ cat,6.111838369512956e-05
tfidf_ego,6.0918890891783775e-05
tfidf_f%2a,5.9918522221495225e-05
tfidf_tion,5.923420511411274e-05
tfidf_%2b,5.877592565951075e-05
tfidf_om ,5.8242081590914644e-05
tfidf_min,4.751590667056035e-05
tfidf_f%2,4.738198267771791e-05
tfidf_%2f%2,4.709303015849849e-05
tfidf_%2a,4.648879301500847e-05
tfidf_arch,4.564810315239819e-05
tfidf_searc,4.412546125515705e-05
has_case_when,4.372802950104895e-05
tfidf_1'/*,4.229006578720967e-05
tfidf_from ,4.104848695510344e-05
tfidf_520,3.9013368741747715e-05
tfidf_1'/,3.7305059830095416e-05
tfidf_sea,3.693361179766298e-05
double_quote_count,3.400349895297899e-05
tfidf_on ,3.3646739036517384e-05
tfidf_2520,3.2712560220177005e-05
tfidf_ fr,3.232895058375714e-05
tfidf_%2a%,3.010202274982828e-05
tfidf_id%3,2.771801579236401e-05
tfidf_tab,2.7421958737721744e-05
tfidf_ers,2.3382502903875855e-05
tfidf_%29%,2.2197942574061863e-05
has_error_condition,1.825293924114687e-05
tfidf_gory ,1.6949305995610398e-05
tfidf_ble_,1.2895085982061068e-05
tfidf__name,1.2307540000778552e-05
tfidf_9%2,1.1943479971330949e-05
tfidf_hem,1.1854853244466267e-05
tfidf_ page,1.0748343946312694e-05
tfidf_from,7.838444523750397e-06
tfidf_%2f%,7.786057089804851e-06
tfidf_whe,5.897259926115938e-06
tfidf_chema,5.75510403251767e-06
has_length,5.480256583844982e-06
tfidf_a%2a,4.3148834325108795e-06
tfidf_29%2,4.1921722380060094e-06
tfidf_f%2a%,3.822590651309991e-06
tfidf__nam,3.6008437867084606e-06
tfidf__sche,3.0175045796628093e-06
tfidf__sc,2.8775505990615973e-06
tfidf_schem,2.8735817142361776e-06
tfidf_able_,2.829636563858601e-06
tfidf_2f%2a,1.4605560197257273e-06
tfidf_a%2f,1.445927411112482e-06
tfidf_000,1.4289072285605899e-06
tfidf_ere,1.3235936016592412e-06
tfidf_rch ,1.0761583853263123e-06
tfidf_ch ,1.0143627231604756e-06
tfidf_(sele,5.467996709372301e-07
tfidf_2a%2f,3.3179296240328645e-07
tfidf_chem,3.083901514703458e-07
keyword_version,1.200387588155692e-07
has_ascii,1.0774083442517955e-07
tfidf_orma,8.170545327183875e-08
tfidf__na,2.6183841715709853e-08
tfidf_ fro,8.756818980639047e-09
has_benchmark,5.953691812295399e-09
tfidf_(sel,0.0
tfidf_(se,0.0
tfidf_2a%,0.0
tfidf_2a%2,0.0
tfidf__sch,0.0
tfidf_a%2a%,0.0
tfidf_tion_,0.0
tfidf_che,0.0
tfidf_2a%2a,0.0
tfidf_ati,0.0
tfidf_her,0.0
tfidf_%2a%2,0.0
tfidf_for,0.0
tfidf_info,0.0
tfidf_ion_,0.0
tfidf_hema.,0.0
tfidf_hema,0.0
tfidf_here,0.0
tfidf_ormat,0.0
has_exists,0.0
has_substring,0.0
has_error_based_pattern,0.0
tfidf_n_sch,0.0
tfidf_mati,0.0
tfidf_n_s,0.0
tfidf_ --,0.0
tfidf_on_sc,0.0
has_information_schema,0.0
has_if_function,0.0
has_system_variable,0.0
has_version_function,0.0
has_database_function,0.0
keyword_insert,0.0
keyword_where,0.0
tfidf_sch,0.0
tfidf_rmati,0.0
tfidf_rom ,0.0
keyword_alter,0.0
keyword_delete,0.0
keyword_update,0.0
keyword_create,0.0
keyword_benchmark,0.0
keyword_information_schema,0.0
tfidf_where,0.0
tfidf_wher,0.0
